country,matrix_group,organism,mean_pct,std_pct,max_pct,n_ab,embed_x,embed_y,cluster_id,cluster_method,embed_method
Bulgaria,animal,E. coli,26.706666666666667,28.72395010307269,74.7,15,8.2655525,5.5600467,1,HDBSCAN,UMAP
Bulgaria,animal,E. coli (ESBL/AmpC),14.251123426382046,8.95802258230638,22.237499999999997,3,16.505962,5.0739794,0,HDBSCAN,UMAP
Bulgaria,animal,S. Derby,9.333333333333334,12.79880946844369,40.0,15,5.655821,4.149431,1,HDBSCAN,UMAP
Bulgaria,animal,S. Enteritidis,10.0,20.701966780270627,50.0,15,4.2285748,4.2680464,1,HDBSCAN,UMAP
Bulgaria,animal,S. Infantis,33.333333333333336,48.795003647426654,100.0,15,4.8967724,4.5515084,1,HDBSCAN,UMAP
Bulgaria,animal,S. Typhimurium,8.893333333333334,20.773281832566518,66.7,15,5.9622912,5.3519783,1,HDBSCAN,UMAP
Bulgaria,animal,S. Typhimurium (mono),6.666666666666667,15.16837248387327,50.0,15,5.931227,4.3973703,1,HDBSCAN,UMAP
Bulgaria,animal,Salmonella spp.,13.111111111111112,21.47730683756017,74.76666666666667,15,4.840329,4.3670216,1,HDBSCAN,UMAP
Bulgaria,human,C. jejuni,30.660000000000004,43.6024999283298,93.3,5,3.814839,11.713854,2,HDBSCAN,UMAP
Bulgaria,human,S. Typhimurium,10.0,25.4195563720897,70.0,14,5.9593143,5.4364114,1,HDBSCAN,UMAP
Bulgaria,human,Salmonella spp.,7.942857142857142,12.080863079567317,36.1,14,5.448065,3.628669,1,HDBSCAN,UMAP
Bulgaria,meat,E. coli (ESBL/AmpC),6.233853177866877,3.5709479854977277,9.58125,3,17.261238,3.8807647,0,HDBSCAN,UMAP
Croatia,animal,C. coli,30.46666666666667,36.431873636510474,82.825,6,4.4020567,10.122593,2,HDBSCAN,UMAP
Croatia,animal,C. jejuni,24.711111111111112,36.835958679690314,85.36666666666667,6,1.9151119,11.582774,2,HDBSCAN,UMAP
Croatia,animal,E. coli,15.199999999999998,17.23562807094653,42.175,15,7.553584,4.6291547,1,HDBSCAN,UMAP
Croatia,animal,E. coli (ESBL/AmpC),8.212598671904226,4.8933974266941185,12.923337542087541,3,17.014921,4.1180887,0,HDBSCAN,UMAP
Croatia,animal,S. Derby,7.333333333333333,11.317916685293195,25.0,15,6.993291,3.1580927,1,HDBSCAN,UMAP
Croatia,animal,S. Enteritidis,3.2098765432098757,7.777357845386585,22.222222222222218,15,3.6492994,3.7116463,1,HDBSCAN,UMAP
Croatia,animal,S. Infantis,5.694444444444445,10.909947344428435,31.25,15,3.790555,3.9020886,1,HDBSCAN,UMAP
Croatia,animal,S. Typhimurium,18.333333333333332,30.56998216427039,75.0,15,7.378497,6.9171715,1,HDBSCAN,UMAP
Croatia,animal,S. Typhimurium (mono),25.56666666666667,37.167490915481245,100.0,15,7.6467752,6.929564,1,HDBSCAN,UMAP
Croatia,animal,Salmonella spp.,7.959450980392156,9.271668205518958,22.305882352941175,15,5.955631,2.9642284,1,HDBSCAN,UMAP
Croatia,human,S. Enteritidis,4.725,4.0574006457336695,8.8,4,6.3238335,1.1246477,1,HDBSCAN,UMAP
Croatia,human,S. Typhimurium,20.975,17.628268018535834,43.8,4,7.091042,4.219818,1,HDBSCAN,UMAP
Croatia,human,Salmonella spp.,9.2,6.793133788367977,16.7,4,6.3749065,1.3225349,1,HDBSCAN,UMAP
Croatia,meat,E. coli,32.0,41.95235392680606,100.0,15,7.991004,5.472928,1,HDBSCAN,UMAP
Croatia,meat,E. coli (ESBL/AmpC),3.0722222222222224,1.8620660071046933,4.665,3,18.20376,3.420813,0,HDBSCAN,UMAP
Cyprus,animal,C. coli,35.7,34.38908256990872,77.9,6,5.211701,9.169237,2,HDBSCAN,UMAP
Cyprus,animal,C. jejuni,31.191666666666674,44.19196099593982,90.45,6,1.8757128,11.620003,2,HDBSCAN,UMAP
Cyprus,animal,E. coli,28.459999999999997,28.278431962994595,75.65,15,8.628674,5.2691565,1,HDBSCAN,UMAP
Cyprus,animal,E. coli (ESBL/AmpC),8.780000000000001,6.480997222650231,14.16,3,16.852322,4.0639343,0,HDBSCAN,UMAP
Cyprus,animal,S. Enteritidis,0.0,0.0,0.0,15,-0.034292545,-3.0420306,-1,HDBSCAN,UMAP
Cyprus,animal,S. Infantis,24.447777777777777,37.733542016642076,83.35,15,4.6932197,5.7287946,1,HDBSCAN,UMAP
Cyprus,animal,S. Kentucky,35.0,45.11889056386788,100.0,15,8.702448,5.5988803,1,HDBSCAN,UMAP
Cyprus,animal,Salmonella spp.,16.779999999999998,19.84757711813504,48.9,15,7.525395,4.775592,1,HDBSCAN,UMAP
Cyprus,human,C. jejuni,57.6,50.996862648598295,97.0,3,4.006551,10.397277,2,HDBSCAN,UMAP
